# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 06, 2026092018, 03, WNV3,   0, 344N,  328W,  54,  999, XX,  34, NEQ,   40,   40,     ,     ,     ,     ,  20,
AL, 06, 2026092018, 03, WNV3,   0, 344N,  328W,  54,  999, XX,  50, NEQ,   20,   20,     ,     ,     ,     ,  20,
AL, 06, 2026092018, 03, WNV3,   6, 342N,  321W,  68,  990, XX,  34, NEQ,   39,   50,   41,   34,     ,     ,  16,
AL, 06, 2026092018, 03, WNV3,   6, 342N,  321W,  68,  990, XX,  50, NEQ,   22,   23,   16,   17,     ,     ,  16,
AL, 06, 2026092018, 03, WNV3,   6, 342N,  321W,  68,  990, XX,  64, NEQ,    5,   12,    3,    3,     ,     ,  16,
AL, 06, 2026092018, 03, WNV3,  12, 341N,  319W,  59,  994, XX,  34, NEQ,   55,   51,   43,   52,     ,     ,  16,
AL, 06, 2026092018, 03, WNV3,  12, 341N,  319W,  59,  994, XX,  50, NEQ,   20,   17,   12,   14,     ,     ,  16,
AL, 06, 2026092018, 03, WNV3,  12, 341N,  319W,  59,  994, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  16,
AL, 06, 2026092018, 03, WNV3,  18, 337N,  318W,  53,  999, XX,  34, NEQ,   57,   47,   45,   60,     ,     ,  17,
AL, 06, 2026092018, 03, WNV3,  18, 337N,  318W,  53,  999, XX,  50, NEQ,   15,   10,    7,    9,     ,     ,  17,
AL, 06, 2026092018, 03, WNV3,  24, 332N,  321W,  48, 1002, XX,  34, NEQ,   71,   46,   42,   72,     ,     ,  24,
AL, 06, 2026092018, 03, WNV3,  24, 332N,  321W,  48, 1002, XX,  50, NEQ,    6,    3,    2,    3,     ,     ,  24,
AL, 06, 2026092018, 03, WNV3,  30, 325N,  325W,  44, 1006, XX,  34, NEQ,   56,   30,   26,   57,     ,     ,  32,
AL, 06, 2026092018, 03, WNV3,  30, 325N,  325W,  44, 1006, XX,  50, NEQ,    2,    0,    0,    1,     ,     ,  32,
AL, 06, 2026092018, 03, WNV3,  36, 319N,  332W,  39, 1007, XX,  34, NEQ,   44,   21,   17,   43,     ,     ,  38,
AL, 06, 2026092018, 03, WNV3,  36, 319N,  332W,  39, 1007, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  38,
AL, 06, 2026092018, 03, WNV3,  42, 313N,  341W,  37, 1008, XX,  34, NEQ,   28,   12,   11,   28,     ,     ,  40,
AL, 06, 2026092018, 03, WNV3,  48, 308N,  350W,  34, 1009, XX,  34, NEQ,   11,    5,    3,   19,     ,     ,  47,
AL, 06, 2026092018, 03, WNV3,  54, 303N,  360W,  31, 1010, XX,  34, NEQ,    2,    0,    1,    4,     ,     ,  47,
AL, 06, 2026092018, 03, WNV3,  60, 300N,  370W,  30, 1010, XX,  34, NEQ,    1,    0,    0,    2,     ,     ,  44,
