# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 12, 2026091006, 03, WNV3,   0, 292N, 1656W,  45,  991, XX,  34, NEQ,  170,  100,   50,  130,     ,     ,  50,
EP, 12, 2026091006, 03, WNV3,   6, 291N, 1669W,  46,  994, XX,  34, NEQ,  151,  103,   78,  126,     ,     ,  59,
EP, 12, 2026091006, 03, WNV3,   6, 291N, 1669W,  46,  994, XX,  50, NEQ,    5,    1,    1,    5,     ,     ,  59,
EP, 12, 2026091006, 03, WNV3,  12, 290N, 1683W,  42,  997, XX,  34, NEQ,  131,   97,   78,  109,     ,     ,  68,
EP, 12, 2026091006, 03, WNV3,  18, 289N, 1696W,  37,  999, XX,  34, NEQ,   84,   43,   35,   51,     ,     ,  67,
EP, 12, 2026091006, 03, WNV3,  24, 287N, 1706W,  35, 1001, XX,  34, NEQ,   47,   18,   15,   22,     ,     ,  70,
EP, 12, 2026091006, 03, WNV3,  30, 288N, 1716W,  32, 1002, XX,  34, NEQ,   19,    5,    4,    6,     ,     ,  65,
EP, 12, 2026091006, 03, WNV3,  36, 291N, 1724W,  29, 1002, XX,  34, NEQ,   17,    7,    5,    7,     ,     ,  78,
EP, 12, 2026091006, 03, WNV3,  42, 295N, 1725W,  30, 1002, XX,  34, NEQ,   15,   11,    8,   10,     ,     ,  73,
EP, 12, 2026091006, 03, WNV3,  48, 303N, 1723W,  30, 1002, XX,  34, NEQ,   18,   15,    8,   10,     ,     ,  65,
EP, 12, 2026091006, 03, WNV3,  54, 314N, 1721W,  33, 1001, XX,  34, NEQ,   29,   18,    9,   10,     ,     ,  67,
EP, 14, 2026091006, 03, WNV3,   0, 164N, 1173W,  35, 1004, XX,  34, NEQ,   50,     ,     ,     ,     ,     ,  50,
EP, 14, 2026091006, 03, WNV3,   6, 163N, 1185W,  34, 1002, XX,  34, NEQ,   17,   14,    2,    4,     ,     ,  45,
