# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 14, 2026091412, 03, WNV3,   0, 193N, 1371W,  35, 1005, XX,  34, NEQ,   60,     ,     ,   70,     ,     ,  45,
EP, 14, 2026091412, 03, WNV3,   6, 196N, 1382W,  34, 1004, XX,  34, NEQ,   26,   15,    7,   12,     ,     ,  45,
EP, 14, 2026091412, 03, WNV3,  12, 198N, 1395W,  30, 1006, XX,  34, NEQ,    4,    1,    1,    2,     ,     ,  47,
EP, 14, 2026091412, 03, WNV3,  18, 199N, 1410W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
EP, 14, 2026091412, 03, WNV3,  24, 200N, 1423W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  57,
EP, 14, 2026091412, 03, WNV3,  30, 200N, 1437W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  57,
EP, 15, 2026091412, 03, WNV3,   0, 163N, 1193W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  60,
EP, 15, 2026091412, 03, WNV3,   6, 165N, 1198W,  30, 1005, XX,  34, NEQ,    3,    2,    1,    1,     ,     ,  55,
EP, 15, 2026091412, 03, WNV3,  12, 164N, 1207W,  29, 1004, XX,  34, NEQ,    2,    1,    0,    1,     ,     ,  57,
EP, 15, 2026091412, 03, WNV3,  18, 162N, 1217W,  30, 1004, XX,  34, NEQ,    1,    3,    1,    0,     ,     ,  57,
EP, 15, 2026091412, 03, WNV3,  24, 161N, 1228W,  31, 1004, XX,  34, NEQ,   13,    4,    2,    3,     ,     ,  63,
EP, 15, 2026091412, 03, WNV3,  30, 160N, 1237W,  30, 1004, XX,  34, NEQ,   10,    6,    2,    4,     ,     ,  62,
EP, 15, 2026091412, 03, WNV3,  36, 158N, 1247W,  28, 1004, XX,  34, NEQ,    2,    1,    1,    2,     ,     ,  63,
EP, 15, 2026091412, 03, WNV3,  42, 158N, 1257W,  29, 1004, XX,  34, NEQ,    8,    4,    2,    4,     ,     ,  61,
EP, 15, 2026091412, 03, WNV3,  48, 158N, 1267W,  31, 1004, XX,  34, NEQ,   21,   10,    5,   10,     ,     ,  58,
EP, 15, 2026091412, 03, WNV3,  54, 158N, 1278W,  31, 1003, XX,  34, NEQ,   20,   11,    7,   13,     ,     ,  55,
EP, 15, 2026091412, 03, WNV3,  54, 158N, 1278W,  31, 1003, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  55,
EP, 15, 2026091412, 03, WNV3,  60, 159N, 1291W,  30, 1004, XX,  34, NEQ,   15,    8,    4,    8,     ,     ,  57,
EP, 15, 2026091412, 03, WNV3,  60, 159N, 1291W,  30, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  57,
EP, 15, 2026091412, 03, WNV3,  66, 160N, 1302W,  31, 1003, XX,  34, NEQ,   19,   12,    4,   10,     ,     ,  50,
EP, 15, 2026091412, 03, WNV3,  66, 160N, 1302W,  31, 1003, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  50,
EP, 15, 2026091412, 03, WNV3,  72, 163N, 1313W,  32, 1004, XX,  34, NEQ,   18,   10,    3,    9,     ,     ,  53,
EP, 15, 2026091412, 03, WNV3,  78, 167N, 1324W,  32, 1004, XX,  34, NEQ,   23,    9,    5,   12,     ,     ,  47,
EP, 15, 2026091412, 03, WNV3,  84, 169N, 1335W,  31, 1004, XX,  34, NEQ,   16,    7,    3,    9,     ,     ,  47,
WP, 90, 2026091412, 03, WNV3,   0, 129N, 1516E,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
WP, 90, 2026091412, 03, WNV3,   6, 125N, 1493E,  21, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  54,
WP, 90, 2026091412, 03, WNV3,  12, 132N, 1492E,  22, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  64,
WP, 90, 2026091412, 03, WNV3,  18, 141N, 1492E,  22, 1002, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  61,
WP, 90, 2026091412, 03, WNV3,  24, 144N, 1488E,  24, 1001, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  62,
WP, 90, 2026091412, 03, WNV3,  30, 146N, 1484E,  26, 1000, XX,  34, NEQ,    3,    2,    1,    1,     ,     ,  59,
WP, 90, 2026091412, 03, WNV3,  36, 152N, 1484E,  31,  998, XX,  34, NEQ,   12,   14,   10,    9,     ,     ,  57,
WP, 90, 2026091412, 03, WNV3,  42, 159N, 1483E,  34,  996, XX,  34, NEQ,   29,   36,   22,   21,     ,     ,  58,
WP, 90, 2026091412, 03, WNV3,  48, 169N, 1485E,  39,  994, XX,  34, NEQ,   80,   77,   63,   63,     ,     ,  56,
WP, 90, 2026091412, 03, WNV3,  48, 169N, 1485E,  39,  994, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  56,
WP, 90, 2026091412, 03, WNV3,  54, 180N, 1485E,  45,  992, XX,  34, NEQ,  108,  104,   82,   87,     ,     ,  49,
WP, 90, 2026091412, 03, WNV3,  54, 180N, 1485E,  45,  992, XX,  50, NEQ,   12,   11,    8,    9,     ,     ,  49,
WP, 90, 2026091412, 03, WNV3,  54, 180N, 1485E,  45,  992, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  49,
WP, 90, 2026091412, 03, WNV3,  60, 192N, 1484E,  50,  989, XX,  34, NEQ,  127,  127,   95,  103,     ,     ,  43,
WP, 90, 2026091412, 03, WNV3,  60, 192N, 1484E,  50,  989, XX,  50, NEQ,   24,   21,   15,   18,     ,     ,  43,
WP, 90, 2026091412, 03, WNV3,  60, 192N, 1484E,  50,  989, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  43,
WP, 90, 2026091412, 03, WNV3,  66, 205N, 1481E,  56,  985, XX,  34, NEQ,  154,  150,  115,  123,     ,     ,  37,
WP, 90, 2026091412, 03, WNV3,  66, 205N, 1481E,  56,  985, XX,  50, NEQ,   54,   46,   34,   38,     ,     ,  37,
WP, 90, 2026091412, 03, WNV3,  66, 205N, 1481E,  56,  985, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  37,
WP, 90, 2026091412, 03, WNV3,  72, 218N, 1475E,  63,  980, XX,  34, NEQ,  158,  150,  111,  126,     ,     ,  33,
WP, 90, 2026091412, 03, WNV3,  72, 218N, 1475E,  63,  980, XX,  50, NEQ,   75,   67,   50,   58,     ,     ,  33,
WP, 90, 2026091412, 03, WNV3,  72, 218N, 1475E,  63,  980, XX,  64, NEQ,   16,   14,   11,   13,     ,     ,  33,
WP, 90, 2026091412, 03, WNV3,  78, 228N, 1466E,  69,  976, XX,  34, NEQ,  176,  160,  116,  142,     ,     ,  29,
WP, 90, 2026091412, 03, WNV3,  78, 228N, 1466E,  69,  976, XX,  50, NEQ,   89,   79,   58,   71,     ,     ,  29,
WP, 90, 2026091412, 03, WNV3,  78, 228N, 1466E,  69,  976, XX,  64, NEQ,   27,   24,   18,   22,     ,     ,  29,
WP, 90, 2026091412, 03, WNV3,  84, 238N, 1456E,  74,  971, XX,  34, NEQ,  185,  165,  120,  149,     ,     ,  26,
WP, 90, 2026091412, 03, WNV3,  84, 238N, 1456E,  74,  971, XX,  50, NEQ,   93,   79,   58,   74,     ,     ,  26,
WP, 90, 2026091412, 03, WNV3,  84, 238N, 1456E,  74,  971, XX,  64, NEQ,   37,   31,   24,   29,     ,     ,  26,
WP, 90, 2026091412, 03, WNV3,  90, 246N, 1446E,  79,  965, XX,  34, NEQ,  195,  167,  120,  158,     ,     ,  24,
WP, 90, 2026091412, 03, WNV3,  90, 246N, 1446E,  79,  965, XX,  50, NEQ,   95,   79,   59,   77,     ,     ,  24,
WP, 90, 2026091412, 03, WNV3,  90, 246N, 1446E,  79,  965, XX,  64, NEQ,   42,   36,   28,   35,     ,     ,  24,
WP, 90, 2026091412, 03, WNV3,  96, 251N, 1435E,  81,  963, XX,  34, NEQ,  208,  173,  133,  175,     ,     ,  21,
WP, 90, 2026091412, 03, WNV3,  96, 251N, 1435E,  81,  963, XX,  50, NEQ,  110,   91,   73,   93,     ,     ,  21,
WP, 90, 2026091412, 03, WNV3,  96, 251N, 1435E,  81,  963, XX,  64, NEQ,   49,   42,   34,   42,     ,     ,  21,
WP, 90, 2026091412, 03, WNV3, 102, 257N, 1425E,  83,  962, XX,  34, NEQ,  217,  179,  141,  186,     ,     ,  24,
WP, 90, 2026091412, 03, WNV3, 102, 257N, 1425E,  83,  962, XX,  50, NEQ,  114,   94,   75,   97,     ,     ,  24,
WP, 90, 2026091412, 03, WNV3, 102, 257N, 1425E,  83,  962, XX,  64, NEQ,   51,   45,   36,   44,     ,     ,  24,
WP, 90, 2026091412, 03, WNV3, 108, 264N, 1415E,  79,  964, XX,  34, NEQ,  217,  179,  142,  185,     ,     ,  26,
WP, 90, 2026091412, 03, WNV3, 108, 264N, 1415E,  79,  964, XX,  50, NEQ,  116,   97,   77,   99,     ,     ,  26,
WP, 90, 2026091412, 03, WNV3, 108, 264N, 1415E,  79,  964, XX,  64, NEQ,   50,   44,   35,   43,     ,     ,  26,
WP, 90, 2026091412, 03, WNV3, 114, 271N, 1407E,  78,  963, XX,  34, NEQ,  220,  186,  147,  191,     ,     ,  27,
WP, 90, 2026091412, 03, WNV3, 114, 271N, 1407E,  78,  963, XX,  50, NEQ,  120,  102,   83,  103,     ,     ,  27,
WP, 90, 2026091412, 03, WNV3, 114, 271N, 1407E,  78,  963, XX,  64, NEQ,   49,   45,   36,   43,     ,     ,  27,
WP, 90, 2026091412, 03, WNV3, 120, 277N, 1401E,  76,  964, XX,  34, NEQ,  231,  197,  164,  203,     ,     ,  29,
WP, 90, 2026091412, 03, WNV3, 120, 277N, 1401E,  76,  964, XX,  50, NEQ,  125,  109,   90,  109,     ,     ,  29,
WP, 90, 2026091412, 03, WNV3, 120, 277N, 1401E,  76,  964, XX,  64, NEQ,   48,   44,   36,   42,     ,     ,  29,
WP, 90, 2026091412, 03, WNV3, 126, 285N, 1397E,  73,  966, XX,  34, NEQ,  215,  190,  157,  188,     ,     ,  34,
WP, 90, 2026091412, 03, WNV3, 126, 285N, 1397E,  73,  966, XX,  50, NEQ,  118,  108,   89,  102,     ,     ,  34,
WP, 90, 2026091412, 03, WNV3, 126, 285N, 1397E,  73,  966, XX,  64, NEQ,   46,   42,   35,   39,     ,     ,  34,
WP, 90, 2026091412, 03, WNV3, 132, 295N, 1397E,  71,  968, XX,  34, NEQ,  217,  201,  164,  184,     ,     ,  34,
WP, 90, 2026091412, 03, WNV3, 132, 295N, 1397E,  71,  968, XX,  50, NEQ,  114,  107,   87,   97,     ,     ,  34,
