# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 14, 2026091412, 03, FNV3,   0, 193N, 1371W,  35, 1005, XX,  34, NEQ,   60,     ,     ,   70,     ,     ,  45,
EP, 14, 2026091412, 03, FNV3,   6, 197N, 1381W,  35, 1004, XX,  34, NEQ,   34,   15,   12,   18,     ,     ,  48,
EP, 14, 2026091412, 03, FNV3,  12, 198N, 1396W,  31, 1005, XX,  34, NEQ,    9,    4,    3,    6,     ,     ,  44,
EP, 14, 2026091412, 03, FNV3,  18, 198N, 1410W,  26, 1006, XX,  34, NEQ,    2,    2,    1,    2,     ,     ,  49,
EP, 14, 2026091412, 03, FNV3,  24, 201N, 1422W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
EP, 14, 2026091412, 03, FNV3,  30, 200N, 1436W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
EP, 14, 2026091412, 03, FNV3,  36, 202N, 1450W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  51,
EP, 15, 2026091412, 03, FNV3,   0, 163N, 1193W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  60,
EP, 15, 2026091412, 03, FNV3,   6, 165N, 1199W,  32, 1004, XX,  34, NEQ,    9,    3,    1,    3,     ,     ,  50,
EP, 15, 2026091412, 03, FNV3,  12, 164N, 1208W,  33, 1004, XX,  34, NEQ,   20,    5,    4,    6,     ,     ,  48,
EP, 15, 2026091412, 03, FNV3,  18, 162N, 1219W,  32, 1004, XX,  34, NEQ,   11,    6,    3,    4,     ,     ,  50,
EP, 15, 2026091412, 03, FNV3,  24, 162N, 1228W,  33, 1003, XX,  34, NEQ,   24,   12,    9,   11,     ,     ,  47,
EP, 15, 2026091412, 03, FNV3,  30, 161N, 1237W,  32, 1004, XX,  34, NEQ,   19,   10,    6,    8,     ,     ,  53,
EP, 15, 2026091412, 03, FNV3,  36, 160N, 1246W,  34, 1003, XX,  34, NEQ,   29,   16,   10,   14,     ,     ,  57,
EP, 15, 2026091412, 03, FNV3,  42, 159N, 1256W,  33, 1003, XX,  34, NEQ,   35,   20,   13,   19,     ,     ,  56,
EP, 15, 2026091412, 03, FNV3,  48, 161N, 1266W,  34, 1002, XX,  34, NEQ,   30,   19,   12,   18,     ,     ,  49,
EP, 15, 2026091412, 03, FNV3,  48, 161N, 1266W,  34, 1002, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  49,
EP, 15, 2026091412, 03, FNV3,  54, 163N, 1275W,  35, 1002, XX,  34, NEQ,   21,    5,    2,    6,     ,     ,  44,
EP, 15, 2026091412, 03, FNV3,  60, 164N, 1288W,  36, 1002, XX,  34, NEQ,   44,   23,   16,   24,     ,     ,  52,
EP, 15, 2026091412, 03, FNV3,  60, 164N, 1288W,  36, 1002, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  52,
EP, 15, 2026091412, 03, FNV3,  66, 167N, 1299W,  37, 1002, XX,  34, NEQ,   33,   16,   11,   17,     ,     ,  51,
EP, 15, 2026091412, 03, FNV3,  66, 167N, 1299W,  37, 1002, XX,  50, NEQ,    3,    0,    0,    0,     ,     ,  51,
EP, 15, 2026091412, 03, FNV3,  72, 172N, 1311W,  40, 1001, XX,  34, NEQ,   47,   34,   22,   35,     ,     ,  42,
EP, 15, 2026091412, 03, FNV3,  72, 172N, 1311W,  40, 1001, XX,  50, NEQ,    5,    1,    1,    1,     ,     ,  42,
EP, 15, 2026091412, 03, FNV3,  78, 174N, 1322W,  40, 1001, XX,  34, NEQ,   41,   28,   18,   28,     ,     ,  41,
EP, 15, 2026091412, 03, FNV3,  78, 174N, 1322W,  40, 1001, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  41,
EP, 15, 2026091412, 03, FNV3,  78, 174N, 1322W,  40, 1001, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  41,
EP, 15, 2026091412, 03, FNV3,  84, 176N, 1334W,  40, 1001, XX,  34, NEQ,   37,   20,   13,   22,     ,     ,  39,
EP, 15, 2026091412, 03, FNV3,  84, 176N, 1334W,  40, 1001, XX,  50, NEQ,    3,    1,    0,    1,     ,     ,  39,
WP, 90, 2026091412, 03, FNV3,   0, 129N, 1516E,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
